generation,min_cost,mean_cost,best_cost,simulation_time
1,17.740000000000002,18.440800000000003,17.740000000000002,17.740000000000002
2,17.04,18.4352,17.04,17.04
3,16.88,18.0104,16.88,16.88
4,16.299999999999997,18.064,16.299999999999997,16.299999999999997
5,16.400000000000002,17.653599999999997,16.299999999999997,16.299999999999997
6,16.38,17.7232,16.299999999999997,16.299999999999997
7,16.099999999999998,17.500799999999998,16.099999999999998,16.099999999999998
8,16.080000000000002,17.325599999999998,16.080000000000002,16.080000000000002
9,15.96,16.8712,15.96,15.96
10,15.22,16.760800000000003,15.22,15.22
11,15.74,16.82,15.22,15.22
12,14.04,16.4568,14.04,14.04
13,15.620000000000001,16.512,14.04,14.04
14,15.72,16.5576,14.04,14.04
15,15.66,16.691200000000002,14.04,14.04
16,15.700000000000001,16.7824,14.04,14.04
17,15.68,16.191200000000002,14.04,14.04
18,15.72,16.2592,14.04,14.04
19,15.700000000000001,16.456,14.04,14.04
20,15.74,16.3168,14.04,14.04
21,15.620000000000001,16.1912,14.04,14.04
22,15.600000000000001,16.2528,14.04,14.04
23,15.68,16.3072,14.04,14.04
24,15.700000000000001,16.426399999999997,14.04,14.04
25,15.700000000000001,16.452800000000003,14.04,14.04
26,15.68,16.4208,14.04,14.04
27,15.700000000000001,16.3424,14.04,14.04
28,15.72,16.2984,14.04,14.04
29,15.66,16.1968,14.04,14.04
30,15.620000000000001,16.032000000000004,14.04,14.04
31,15.58,16.0992,14.04,14.04
32,15.68,16.076800000000002,14.04,14.04
33,15.700000000000001,15.9992,14.04,14.04
34,15.700000000000001,16.272000000000002,14.04,14.04
35,15.58,16.1856,14.04,14.04
36,15.700000000000001,16.4024,14.04,14.04
37,15.700000000000001,16.0912,14.04,14.04
38,15.700000000000001,16.1368,14.04,14.04
39,15.68,16.297600000000003,14.04,14.04
40,15.620000000000001,16.171200000000002,14.04,14.04
41,15.14,15.978399999999999,14.04,14.04
42,15.120000000000001,16.1232,14.04,14.04
43,15.0,16.145599999999998,14.04,14.04
44,14.86,16.523999999999997,14.04,14.04
45,14.64,16.212,14.04,14.04
46,14.52,16.2752,14.04,14.04
47,14.5,16.0544,14.04,14.04
48,14.459999999999999,16.322400000000002,14.04,14.04
49,14.379999999999999,15.8904,14.04,14.04
50,12.9,15.945599999999999,12.9,12.9
51,14.379999999999999,15.8424,12.9,12.9
52,14.459999999999999,15.7952,12.9,12.9
53,14.5,15.78,12.9,12.9
54,14.559999999999999,16.2576,12.9,12.9
55,13.719999999999999,15.6552,12.9,12.9
56,14.58,16.2248,12.9,12.9
57,14.42,16.128800000000002,12.9,12.9
58,13.98,15.7392,12.9,12.9
59,14.3,16.0072,12.9,12.9
60,14.5,15.6808,12.9,12.9
61,14.5,15.8976,12.9,12.9
62,14.260000000000002,15.601600000000001,12.9,12.9
63,13.0,15.512800000000002,12.9,12.9
64,13.900000000000002,15.524000000000001,12.9,12.9
65,14.48,15.560800000000002,12.9,12.9
66,14.220000000000002,15.283199999999999,12.9,12.9
67,14.04,15.435200000000002,12.9,12.9
68,14.379999999999999,15.483200000000002,12.9,12.9
69,14.459999999999999,15.447200000000002,12.9,12.9
70,14.2,15.2336,12.9,12.9
71,14.079999999999998,15.264000000000001,12.9,12.9
72,14.260000000000002,15.4672,12.9,12.9
73,14.3,15.264000000000001,12.9,12.9
74,14.28,15.3352,12.9,12.9
75,14.3,15.4176,12.9,12.9
76,13.940000000000001,15.208,12.9,12.9
77,14.42,15.308,12.9,12.9
